A=10 | B=0 | Sel=0 | Result=10
A=10 | B=1 | Sel=0 | Result=11
A=10 | B=2 | Sel=0 | Result=12
A=10 | B=3 | Sel=0 | Result=13
A=10 | B=4 | Sel=0 | Result=14
A=10 | B=5 | Sel=0 | Result=15
A=10 | B=6 | Sel=0 | Result=16
A=10 | B=7 | Sel=0 | Result=17
A=10 | B=8 | Sel=0 | Result=18
A=10 | B=9 | Sel=0 | Result=19
A=10 | B=10 | Sel=0 | Result=20
A=10 | B=11 | Sel=0 | Result=21
A=10 | B=12 | Sel=0 | Result=22
A=10 | B=13 | Sel=0 | Result=23
A=10 | B=14 | Sel=0 | Result=24
A=10 | B=15 | Sel=0 | Result=25
A=11 | B=0 | Sel=0 | Result=11
A=11 | B=1 | Sel=0 | Result=12
A=11 | B=2 | Sel=0 | Result=13
A=11 | B=3 | Sel=0 | Result=14
A=11 | B=4 | Sel=0 | Result=15
A=11 | B=5 | Sel=0 | Result=16
A=11 | B=6 | Sel=0 | Result=17
A=11 | B=7 | Sel=0 | Result=18
A=11 | B=8 | Sel=0 | Result=19
A=11 | B=9 | Sel=0 | Result=20
A=11 | B=10 | Sel=0 | Result=21
A=11 | B=11 | Sel=0 | Result=22
A=11 | B=12 | Sel=0 | Result=23
A=11 | B=13 | Sel=0 | Result=24
A=11 | B=14 | Sel=0 | Result=25
A=11 | B=15 | Sel=0 | Result=26
A=12 | B=0 | Sel=0 | Result=12
A=12 | B=1 | Sel=0 | Result=13
A=12 | B=2 | Sel=0 | Result=14
A=12 | B=3 | Sel=0 | Result=15
A=12 | B=4 | Sel=0 | Result=16
A=12 | B=5 | Sel=0 | Result=17
A=12 | B=6 | Sel=0 | Result=18
A=12 | B=7 | Sel=0 | Result=19
A=12 | B=8 | Sel=0 | Result=20
A=12 | B=9 | Sel=0 | Result=21
A=12 | B=10 | Sel=0 | Result=22
A=12 | B=11 | Sel=0 | Result=23
A=12 | B=12 | Sel=0 | Result=24
A=12 | B=13 | Sel=0 | Result=25
A=12 | B=14 | Sel=0 | Result=26
A=12 | B=15 | Sel=0 | Result=27
A=13 | B=0 | Sel=0 | Result=13
A=13 | B=1 | Sel=0 | Result=14
A=13 | B=2 | Sel=0 | Result=15
A=13 | B=3 | Sel=0 | Result=16
A=13 | B=4 | Sel=0 | Result=17
A=13 | B=5 | Sel=0 | Result=18
A=13 | B=6 | Sel=0 | Result=19
A=13 | B=7 | Sel=0 | Result=20
A=13 | B=8 | Sel=0 | Result=21
A=13 | B=9 | Sel=0 | Result=22
A=13 | B=10 | Sel=0 | Result=23
A=13 | B=11 | Sel=0 | Result=24
A=13 | B=12 | Sel=0 | Result=25
A=13 | B=13 | Sel=0 | Result=26
A=13 | B=14 | Sel=0 | Result=27
A=13 | B=15 | Sel=0 | Result=28
A=14 | B=0 | Sel=0 | Result=14
A=14 | B=1 | Sel=0 | Result=15
A=14 | B=2 | Sel=0 | Result=16
A=14 | B=3 | Sel=0 | Result=17
A=14 | B=4 | Sel=0 | Result=18
A=14 | B=5 | Sel=0 | Result=19
A=14 | B=6 | Sel=0 | Result=20
A=14 | B=7 | Sel=0 | Result=21
A=14 | B=8 | Sel=0 | Result=22
A=14 | B=9 | Sel=0 | Result=23
A=14 | B=10 | Sel=0 | Result=24
A=14 | B=11 | Sel=0 | Result=25
A=14 | B=12 | Sel=0 | Result=26
A=14 | B=13 | Sel=0 | Result=27
A=14 | B=14 | Sel=0 | Result=28
A=14 | B=15 | Sel=0 | Result=29
A=15 | B=0 | Sel=0 | Result=15
A=15 | B=1 | Sel=0 | Result=16
A=15 | B=2 | Sel=0 | Result=17
A=15 | B=3 | Sel=0 | Result=18
A=15 | B=4 | Sel=0 | Result=19
A=15 | B=5 | Sel=0 | Result=20
A=15 | B=6 | Sel=0 | Result=21
A=15 | B=7 | Sel=0 | Result=22
A=15 | B=8 | Sel=0 | Result=23
A=15 | B=9 | Sel=0 | Result=24
A=15 | B=10 | Sel=0 | Result=25
A=15 | B=11 | Sel=0 | Result=26
A=15 | B=12 | Sel=0 | Result=27
A=15 | B=13 | Sel=0 | Result=28
A=15 | B=14 | Sel=0 | Result=29
A=15 | B=15 | Sel=0 | Result=30
A=10 | B=0 | Sel=1 | Result=10
A=10 | B=1 | Sel=1 | Result=9
A=10 | B=2 | Sel=1 | Result=8
A=10 | B=3 | Sel=1 | Result=7
A=10 | B=4 | Sel=1 | Result=6
A=10 | B=5 | Sel=1 | Result=5
A=10 | B=6 | Sel=1 | Result=4
A=10 | B=7 | Sel=1 | Result=3
A=10 | B=8 | Sel=1 | Result=2
A=10 | B=9 | Sel=1 | Result=1
A=10 | B=10 | Sel=1 | Result=0
A=10 | B=11 | Sel=1 | Result=-1
A=10 | B=12 | Sel=1 | Result=-2
A=10 | B=13 | Sel=1 | Result=-3
A=10 | B=14 | Sel=1 | Result=-4
A=10 | B=15 | Sel=1 | Result=-5
A=11 | B=0 | Sel=1 | Result=11
A=11 | B=1 | Sel=1 | Result=10
A=11 | B=2 | Sel=1 | Result=9
A=11 | B=3 | Sel=1 | Result=8
A=11 | B=4 | Sel=1 | Result=7
A=11 | B=5 | Sel=1 | Result=6
A=11 | B=6 | Sel=1 | Result=5
A=11 | B=7 | Sel=1 | Result=4
A=11 | B=8 | Sel=1 | Result=3
A=11 | B=9 | Sel=1 | Result=2
A=11 | B=10 | Sel=1 | Result=1
A=11 | B=11 | Sel=1 | Result=0
A=11 | B=12 | Sel=1 | Result=-1
A=11 | B=13 | Sel=1 | Result=-2
A=11 | B=14 | Sel=1 | Result=-3
A=11 | B=15 | Sel=1 | Result=-4
A=12 | B=0 | Sel=1 | Result=12
A=12 | B=1 | Sel=1 | Result=11
A=12 | B=2 | Sel=1 | Result=10
A=12 | B=3 | Sel=1 | Result=9
A=12 | B=4 | Sel=1 | Result=8
A=12 | B=5 | Sel=1 | Result=7
A=12 | B=6 | Sel=1 | Result=6
A=12 | B=7 | Sel=1 | Result=5
A=12 | B=8 | Sel=1 | Result=4
A=12 | B=9 | Sel=1 | Result=3
A=12 | B=10 | Sel=1 | Result=2
A=12 | B=11 | Sel=1 | Result=1
A=12 | B=12 | Sel=1 | Result=0
A=12 | B=13 | Sel=1 | Result=-1
A=12 | B=14 | Sel=1 | Result=-2
A=12 | B=15 | Sel=1 | Result=-3
A=13 | B=0 | Sel=1 | Result=13
A=13 | B=1 | Sel=1 | Result=12
A=13 | B=2 | Sel=1 | Result=11
A=13 | B=3 | Sel=1 | Result=10
A=13 | B=4 | Sel=1 | Result=9
