Vivado Simulator 2018.3
Time resolution is 1 ps
T=26000 | OP=     ADD | A=0 | B=0 | Result=0 | Z=1 | OF=0 | DBZ=0
T=38000 | OP=     ADD | A=0 | B=1 | Result=1 | Z=0 | OF=0 | DBZ=0
T=50000 | OP=     ADD | A=0 | B=2 | Result=2 | Z=0 | OF=0 | DBZ=0
T=62000 | OP=     ADD | A=0 | B=3 | Result=3 | Z=0 | OF=0 | DBZ=0
T=74000 | OP=     ADD | A=0 | B=4 | Result=4 | Z=0 | OF=0 | DBZ=0
T=86000 | OP=     ADD | A=0 | B=5 | Result=5 | Z=0 | OF=0 | DBZ=0
T=98000 | OP=     ADD | A=0 | B=6 | Result=6 | Z=0 | OF=0 | DBZ=0
T=110000 | OP=     ADD | A=0 | B=7 | Result=7 | Z=0 | OF=0 | DBZ=0
T=122000 | OP=     ADD | A=0 | B=8 | Result=8 | Z=0 | OF=0 | DBZ=0
T=134000 | OP=     ADD | A=0 | B=9 | Result=9 | Z=0 | OF=0 | DBZ=0
T=146000 | OP=     ADD | A=0 | B=10 | Result=10 | Z=0 | OF=0 | DBZ=0
T=158000 | OP=     ADD | A=0 | B=11 | Result=11 | Z=0 | OF=0 | DBZ=0
T=170000 | OP=     ADD | A=0 | B=12 | Result=12 | Z=0 | OF=0 | DBZ=0
T=182000 | OP=     ADD | A=0 | B=13 | Result=13 | Z=0 | OF=0 | DBZ=0
T=194000 | OP=     ADD | A=0 | B=14 | Result=14 | Z=0 | OF=0 | DBZ=0
T=206000 | OP=     ADD | A=0 | B=15 | Result=15 | Z=0 | OF=0 | DBZ=0
T=218000 | OP=     ADD | A=1 | B=0 | Result=1 | Z=0 | OF=0 | DBZ=0
T=230000 | OP=     ADD | A=1 | B=1 | Result=2 | Z=0 | OF=0 | DBZ=0
T=242000 | OP=     ADD | A=1 | B=2 | Result=3 | Z=0 | OF=0 | DBZ=0
T=254000 | OP=     ADD | A=1 | B=3 | Result=4 | Z=0 | OF=0 | DBZ=0
T=266000 | OP=     ADD | A=1 | B=4 | Result=5 | Z=0 | OF=0 | DBZ=0
T=278000 | OP=     ADD | A=1 | B=5 | Result=6 | Z=0 | OF=0 | DBZ=0
T=290000 | OP=     ADD | A=1 | B=6 | Result=7 | Z=0 | OF=0 | DBZ=0
T=302000 | OP=     ADD | A=1 | B=7 | Result=8 | Z=0 | OF=0 | DBZ=0
T=314000 | OP=     ADD | A=1 | B=8 | Result=9 | Z=0 | OF=0 | DBZ=0
T=326000 | OP=     ADD | A=1 | B=9 | Result=10 | Z=0 | OF=0 | DBZ=0
T=338000 | OP=     ADD | A=1 | B=10 | Result=11 | Z=0 | OF=0 | DBZ=0
T=350000 | OP=     ADD | A=1 | B=11 | Result=12 | Z=0 | OF=0 | DBZ=0
T=362000 | OP=     ADD | A=1 | B=12 | Result=13 | Z=0 | OF=0 | DBZ=0
T=374000 | OP=     ADD | A=1 | B=13 | Result=14 | Z=0 | OF=0 | DBZ=0
T=386000 | OP=     ADD | A=1 | B=14 | Result=15 | Z=0 | OF=0 | DBZ=0
T=398000 | OP=     ADD | A=1 | B=15 | Result=16 | Z=0 | OF=1 | DBZ=0
T=410000 | OP=     ADD | A=2 | B=0 | Result=2 | Z=0 | OF=0 | DBZ=0
T=422000 | OP=     ADD | A=2 | B=1 | Result=3 | Z=0 | OF=0 | DBZ=0
T=434000 | OP=     ADD | A=2 | B=2 | Result=4 | Z=0 | OF=0 | DBZ=0
T=446000 | OP=     ADD | A=2 | B=3 | Result=5 | Z=0 | OF=0 | DBZ=0
T=458000 | OP=     ADD | A=2 | B=4 | Result=6 | Z=0 | OF=0 | DBZ=0
T=470000 | OP=     ADD | A=2 | B=5 | Result=7 | Z=0 | OF=0 | DBZ=0
T=482000 | OP=     ADD | A=2 | B=6 | Result=8 | Z=0 | OF=0 | DBZ=0
T=494000 | OP=     ADD | A=2 | B=7 | Result=9 | Z=0 | OF=0 | DBZ=0
T=506000 | OP=     ADD | A=2 | B=8 | Result=10 | Z=0 | OF=0 | DBZ=0
T=518000 | OP=     ADD | A=2 | B=9 | Result=11 | Z=0 | OF=0 | DBZ=0
T=530000 | OP=     ADD | A=2 | B=10 | Result=12 | Z=0 | OF=0 | DBZ=0
T=542000 | OP=     ADD | A=2 | B=11 | Result=13 | Z=0 | OF=0 | DBZ=0
T=554000 | OP=     ADD | A=2 | B=12 | Result=14 | Z=0 | OF=0 | DBZ=0
T=566000 | OP=     ADD | A=2 | B=13 | Result=15 | Z=0 | OF=0 | DBZ=0
T=578000 | OP=     ADD | A=2 | B=14 | Result=16 | Z=0 | OF=1 | DBZ=0
T=590000 | OP=     ADD | A=2 | B=15 | Result=17 | Z=0 | OF=1 | DBZ=0
T=602000 | OP=     ADD | A=3 | B=0 | Result=3 | Z=0 | OF=0 | DBZ=0
T=614000 | OP=     ADD | A=3 | B=1 | Result=4 | Z=0 | OF=0 | DBZ=0
T=626000 | OP=     ADD | A=3 | B=2 | Result=5 | Z=0 | OF=0 | DBZ=0
T=638000 | OP=     ADD | A=3 | B=3 | Result=6 | Z=0 | OF=0 | DBZ=0
T=650000 | OP=     ADD | A=3 | B=4 | Result=7 | Z=0 | OF=0 | DBZ=0
T=662000 | OP=     ADD | A=3 | B=5 | Result=8 | Z=0 | OF=0 | DBZ=0
T=674000 | OP=     ADD | A=3 | B=6 | Result=9 | Z=0 | OF=0 | DBZ=0
T=686000 | OP=     ADD | A=3 | B=7 | Result=10 | Z=0 | OF=0 | DBZ=0
T=698000 | OP=     ADD | A=3 | B=8 | Result=11 | Z=0 | OF=0 | DBZ=0
T=710000 | OP=     ADD | A=3 | B=9 | Result=12 | Z=0 | OF=0 | DBZ=0
T=722000 | OP=     ADD | A=3 | B=10 | Result=13 | Z=0 | OF=0 | DBZ=0
T=734000 | OP=     ADD | A=3 | B=11 | Result=14 | Z=0 | OF=0 | DBZ=0
T=746000 | OP=     ADD | A=3 | B=12 | Result=15 | Z=0 | OF=0 | DBZ=0
T=758000 | OP=     ADD | A=3 | B=13 | Result=16 | Z=0 | OF=1 | DBZ=0
T=770000 | OP=     ADD | A=3 | B=14 | Result=17 | Z=0 | OF=1 | DBZ=0
T=782000 | OP=     ADD | A=3 | B=15 | Result=18 | Z=0 | OF=1 | DBZ=0
T=794000 | OP=     ADD | A=4 | B=0 | Result=4 | Z=0 | OF=0 | DBZ=0
T=806000 | OP=     ADD | A=4 | B=1 | Result=5 | Z=0 | OF=0 | DBZ=0
T=818000 | OP=     ADD | A=4 | B=2 | Result=6 | Z=0 | OF=0 | DBZ=0
T=830000 | OP=     ADD | A=4 | B=3 | Result=7 | Z=0 | OF=0 | DBZ=0
T=842000 | OP=     ADD | A=4 | B=4 | Result=8 | Z=0 | OF=0 | DBZ=0
T=854000 | OP=     ADD | A=4 | B=5 | Result=9 | Z=0 | OF=0 | DBZ=0
T=866000 | OP=     ADD | A=4 | B=6 | Result=10 | Z=0 | OF=0 | DBZ=0
T=878000 | OP=     ADD | A=4 | B=7 | Result=11 | Z=0 | OF=0 | DBZ=0
T=890000 | OP=     ADD | A=4 | B=8 | Result=12 | Z=0 | OF=0 | DBZ=0
T=902000 | OP=     ADD | A=4 | B=9 | Result=13 | Z=0 | OF=0 | DBZ=0
T=914000 | OP=     ADD | A=4 | B=10 | Result=14 | Z=0 | OF=0 | DBZ=0
T=926000 | OP=     ADD | A=4 | B=11 | Result=15 | Z=0 | OF=0 | DBZ=0
T=938000 | OP=     ADD | A=4 | B=12 | Result=16 | Z=0 | OF=1 | DBZ=0
T=950000 | OP=     ADD | A=4 | B=13 | Result=17 | Z=0 | OF=1 | DBZ=0
T=962000 | OP=     ADD | A=4 | B=14 | Result=18 | Z=0 | OF=1 | DBZ=0
T=974000 | OP=     ADD | A=4 | B=15 | Result=19 | Z=0 | OF=1 | DBZ=0
T=986000 | OP=     ADD | A=5 | B=0 | Result=5 | Z=0 | OF=0 | DBZ=0
T=998000 | OP=     ADD | A=5 | B=1 | Result=6 | Z=0 | OF=0 | DBZ=0
